a   a
b   b
b_` ɓ
c   c
d   d
dz  ʣ
dz` ꭦ
dz\ ʥ
dZ  ʤ
dZ` 𝼙
d_` ɗ
e   e
f   f
g   ɡ
g_` ɠ
h   h
h\  ɦ
i   i
j   j
j\  ʝ
k   k
l   l
l`  ɭ
l\  ɺ
m   m
n   n
n`  ɳ
o   o
p   p
p\  ɸ
q   q
r   r
r`  ɽ
r\  ɹ
r\` ɻ
s   s
s`  ʂ
t   t
ts  ʦ
ts` ꭧ
ts\ ʨ
tS  ʧ
tS` 𝼜
u   u
v   v
v`  ʋ
w   w
x   x
x`  ɧ
y   y
z   z
z`  ʐ
A   ɑ
B   β
B\  ʙ
C   ç
D   ð
E   ɛ
F   ɱ
G   ɣ
G\  ɢ
G\_>    ʛ
H   ɥ
H\  ʜ
I   ɪ
I\  ᵻ
J   ɲ
J\  ɟ
J\_>    ʄ
K   ɬ
K\  ɮ
L   ʎ
L\  ʟ
M   ɯ
M\  ɰ
N   ŋ
N\  ɴ
O   ɔ
O\  ʘ
P   ʋ
Q   ɒ
R   ʁ
R\  ʀ
S   ʃ
T   θ
U   ʊ
U\  ᵿ
V   ʌ
W   ʍ
X   χ
X\  ħ
Y   ʏ
Z   ʒ
.   .
"   ˈ
%   ˌ
'   ʲ
:   ː
:\  ˑ
@   ə
@\  ɘ
@`  ɚ
{   æ
-   
